product_name,brand,category,review_text,rating,source
Hair Growth Serum,Man Matters,Haircare,"Too greasy and leaves a sticky residue on scalp even after hours",2,Amazon
Anti Hair Fall Shampoo,Man Matters,Haircare,"Takes too long to show any visible results after 3 months of daily use",2,Flipkart
Hair Growth Serum,Man Matters,Haircare,"Heavy oily texture makes it impossible for daily use in Indian summers",1,Nykaa
Beard Growth Oil,Man Matters,Grooming,"Caused irritation and a burning rash on my sensitive skin within 2 days",1,Amazon
Rosemary Hair Oil,Vedix,Haircare,"Very expensive for the quantity provided. Finished in barely 2 weeks",3,Flipkart
Onion Hair Oil,WOW Skin Science,Haircare,"Greasy formula that stains my pillow every night. Hard to wash out",2,Amazon
Hair Growth Tonic,Traya,Haircare,"Been using for 4 months with zero visible improvement. Total waste",1,Nykaa
Scalp Serum,Minimalist,Haircare,"Packaging leaked during delivery. Half the product was already gone",2,Amazon
Biotin Tablets,Man Matters,Supplements,"No noticeable change even after taking for 60 days religiously",2,Flipkart
Anti Hair Fall Serum,mCaffeine,Haircare,"Strong chemical smell that gives me a headache every time I apply",2,Amazon
Hair Growth Serum,Bare Anatomy,Haircare,"Nice product but way too overpriced for what you get. Not sustainable",3,Nykaa
Redensyl Serum,Minimalist,Haircare,"Sticky residue makes my hair look unwashed. Very heavy formula",2,Flipkart
Anti Hair Loss Shampoo,Mamaearth,Haircare,"Didn't reduce hair fall at all. Same amount of hair in the drain",2,Amazon
Hair Regrowth Serum,Traya,Haircare,"Caused scalp irritation and itching after first week of use",1,Nykaa
Keratin Shampoo,WOW Skin Science,Haircare,"Leaves hair very dry and frizzy. Dandruff got worse",2,Flipkart
Onion Shampoo,Mamaearth,Haircare,"Horrible artificial onion smell that lingers for hours",1,Amazon
Hair Fall Control Oil,Forest Essentials,Haircare,"₹1200 for 50ml is just robbery. Cheaper options work just as well",2,Nykaa
Growth Serum,SoulTree,Haircare,"Super small 30ml bottle finished in 10 days. Very poor quantity",2,Amazon
Minoxidil Solution,Man Matters,Haircare,"Effective but caused scalp dryness and flaking as a side effect",3,Flipkart
Hair Vitamin Gummies,Power Gummies,Supplements,"Tastes good but showed zero results for hair growth after 2 months",2,Amazon
Rosemary Growth Serum,Pilgrim,Haircare,"Greasy sticky formula. My scalp feels suffocated after application",2,Nykaa
Anti Dandruff Shampoo,Head Shoulders,Haircare,"Contains harsh sulfates and parabens. Not safe for long-term use",2,Flipkart
Hair Growth Combo Kit,Traya,Haircare,"Kit packaging was so flimsy that bottles arrived broken and leaked",1,Amazon
Scalp Treatment Serum,Plum,Haircare,"Takes forever to show results. 2 bottles in and still losing hair",2,Nykaa
Biotin Hair Serum,OZiva,Haircare,"Way too expensive at ₹999 for a 50ml bottle that barely lasts a month",2,Amazon
