keyword,search_volume,growth_percent,timeframe
rosemary oil hair growth,54000,120,12m
non greasy hair serum,22000,95,12m
hair growth serum for men,41000,78,12m
lightweight hair oil India,18000,85,12m
redensyl serum India,12000,110,12m
biotin gummies for hair,28000,90,12m
caffeine hair growth serum,15000,105,12m
natural hair fall solution,35000,72,12m
affordable hair serum India,19000,88,12m
scalp irritation treatment,8500,65,12m
clean label hair products,6200,140,12m
hair thinning young men India,24000,115,12m
