Item Name,Manufacturer,Product Category,Customer Feedback,Star Rating,Review Platform,Date,Verified
CeraVe Moisturizing Cream,CeraVe,Moisturizer,"Absolutely love this cream. My dry skin feels so much better after just a week of use. No irritation at all.",5,Amazon,2025-11-02,Yes
The Ordinary Niacinamide 10%,The Ordinary,Serum,"Broke me out badly within 3 days. My skin was fine before using this product. Very disappointed.",1,Sephora,2025-10-18,Yes
La Roche-Posay Toleriane,La Roche-Posay,Cleanser,"Decent cleanser but way too expensive for the size. There are better options at half the price.",3,Ulta,2025-12-01,No
Neutrogena Hydro Boost,Neutrogena,Moisturizer,"Good lightweight gel moisturizer. Works well under makeup. Fragrance is a bit strong though.",4,Target,2025-09-14,Yes
Paula's Choice 2% BHA,Paula's Choice,Exfoliant,"Holy grail product! Cleared my blackheads in 2 weeks. Texture improved dramatically.",5,Paula's Choice,2025-11-28,Yes
Drunk Elephant Protini,Drunk Elephant,Moisturizer,"Not worth the price tag at all. Basic moisturizer with fancy marketing. Felt greasy on my combo skin.",2,Sephora,2025-10-05,Yes
Vanicream Gentle Cleanser,Vanicream,Cleanser,"Perfect for sensitive skin. No fragrance no irritation. My dermatologist recommended it and it works great.",5,Amazon,2025-08-22,Yes
Tatcha Dewy Skin Cream,Tatcha,Moisturizer,"Beautiful packaging but the product itself is just okay. Wouldn't repurchase at this price point.",3,Nordstrom,2025-11-15,No
EltaMD UV Clear SPF 46,EltaMD,Sunscreen,"Best sunscreen for acne-prone skin. No white cast lightweight and doesn't break me out. Use it daily.",5,Dermstore,2025-12-10,Yes
Bioderma Sensibio Micellar Water,Bioderma,Cleanser,"Removes makeup effectively without stripping the skin. Been using for years and nothing compares.",4,Amazon,2025-07-30,Yes
SK-II Facial Treatment Essence,SK-II,Essence,"Overhyped and overpriced. Used the full bottle and saw zero difference in my skin. Total waste of money.",1,Sephora,2025-09-20,Yes
Cosrx Snail Mucin Essence,Cosrx,Essence,"Amazing hydration! My skin looks plumper and more radiant. The texture is a bit slimy but you get used to it.",4,Amazon,2025-11-08,Yes
Kiehl's Ultra Facial Cream,Kiehl's,Moisturizer,"Solid everyday moisturizer. Nothing fancy but does the job well. Have been repurchasing for 3 years.",4,Kiehl's,2025-10-25,Yes
Clinique Dramatically Different,Clinique,Moisturizer,"Caused clogged pores and tiny bumps all over my forehead. Had to stop using after 5 days.",2,Macy's,2025-08-14,No
First Aid Beauty Ultra Repair,First Aid Beauty,Moisturizer,"Saved my skin during winter! Thick but absorbs well. The colloidal oatmeal really calms irritation.",5,Ulta,2025-12-20,Yes
