product_name,brand,category,review_text,rating,source
Hair Growth Serum,Man Matters,Haircare,"Too greasy and sticky",2,Amazon
Hair Growth Serum,Man Matters,Haircare,"Takes too long to show results",3,Flipkart
Hair Growth Serum,Man Matters,Haircare,"Heavy texture and oily finish",2,Nykaa
Hair Growth Serum,Man Matters,Haircare,"Not suitable for daily use",3,Amazon
Hair Growth Serum,Man Matters,Haircare,"Leaves residue on scalp",2,Flipkart
Hair Growth Serum,Man Matters,Haircare,"Smells strong and chemical-like",3,Nykaa
Hair Growth Serum,Man Matters,Haircare,"Caused mild itching",2,Amazon
Hair Growth Serum,Man Matters,Haircare,"Packaging leaks sometimes",3,Flipkart
Hair Growth Serum,Man Matters,Haircare,"Expensive compared to others",3,Amazon
Hair Growth Serum,Man Matters,Haircare,"Results are slow but works eventually",4,Nykaa
